dwc	api
atlasClass	unit.atlasClass
atlasCode	unit.atlasCode
biogeographicalProvince	gathering.interpretations.biogeographicalProvinceDisplayname
coordinateAccuracy	gathering.interpretations.coordinateAccuracy
datasetCurationLevel	document.linkings.collectionQuality
datasetId	document.collectionId
eventDate	gathering.displayDateTime
eventID	gathering.gatheringId
eventRemarks	document.notes
eventRemarks	gathering.notes
identificationVerificationStatus	unit.interpretations.recordQuality
identifiedBy	unit.det
individualCount	unit.interpretations.individualCount
informalTaxonGroup	unit.linkings.taxon.informalTaxonGroups
informationWithheld	document.secureReasons
lajiturvaStatus	unit.linkings.taxon.threatenedStatus
lifeStage	unit.lifeStage
occurrenceID	unit.unitId
occurrenceRemarks	unit.notes
organismQuantity	unit.abundanceString
organismQuantityType	unit.abundanceUnit
originatingSource	document.dataSource
parentEventID	document.documentId
recordedBy	gathering.team
redListStatusFinland	unit.linkings.taxon.latestRedListStatusFinland.status
regulatoryStatuses	unit.linkings.taxon.administrativeStatuses
scientificName	unit.linkings.taxon.scientificName
sex	unit.sex
taxonConceptID	unit.linkings.taxon.id
vernacularNameSwedish	unit.linkings.taxon.nameSwedish
availableDate	document.firstLoadDate
basisOfRecord	unit.recordBasis
countryCode	gathering.interpretations.country
county	gathering.interpretations.municipalityDisplayname
dataGeneralizations	document.secureLevel
invasiveTaxonManagementAction	unit.interpretations.invasiveControlEffectiveness
isBreedingSite	unit.breedingSite
isMigrating	unit.local
isSensitiveTaxon	unit.linkings.taxon.sensitive
isStateLand	gathering.stateLand
kingdom	unit.linkings.taxon.kingdomScientificName
license	document.licenseId
locationID	document.namedPlaceId
locationName	document.namedPlace.name
locationStatus	document.siteStatus
locationType	document.siteType
maleIndividualCount	unit.individualCountMale
otherCatalogNumbers	document.keywords
otherCatalogNumbers	unit.keywords
pairCount	unit.interpretations.pairCount
qualityControl	unit.interpretations.effectiveTags
redListStatusFinlandYear	unit.linkings.taxon.latestRedListStatusFinland.year
scientificNameAuthorship	unit.linkings.taxon.scientificNameAuthorship
sourceName	document.sourceId
taxonRank	unit.linkings.taxon.taxonRank
verbatimIdentification	unit.taxonVerbatim
vernacularName	unit.linkings.taxon.nameFinnish
femaleIndividualCount	unit.individualCountFemale
georeferenceSources	gathering.interpretations.sourceOfCoordinates
taxonPreferredHabitat	unit.linkings.taxon.primaryHabitat.habitat
taxonPreferredHabitat	unit.linkings.taxon.primaryHabitat.habitatSpecificTypes
verbatimLocality	gathering.locality
verbatimLocality	gathering.biogeographicalProvince
verbatimLocality	gathering.country
verbatimLocality	gathering.higherGeography
verbatimLocality	gathering.interpretations.countryDisplayname
verbatimLocality	gathering.municipality
verbatimLocality	gathering.province
dynamicProperties	gathering.accurateArea
dynamicProperties	gathering.gatheringSection
dynamicProperties	unit.alive
dynamicProperties	unit.individualId
dynamicProperties	unit.plantStatusCode
dynamicProperties	unit.wild
qualityIssues	document.quality.issue.issue
qualityIssues	document.quality.issue.message
qualityIssues	document.quality.issue.source
qualityIssues	gathering.quality.issue.issue
qualityIssues	gathering.quality.issue.message
qualityIssues	gathering.quality.issue.source
qualityIssues	gathering.quality.locationIssue.issue
qualityIssues	gathering.quality.locationIssue.message
qualityIssues	gathering.quality.locationIssue.source
qualityIssues	gathering.quality.timeIssue.issue
qualityIssues	gathering.quality.timeIssue.message
qualityIssues	gathering.quality.timeIssue.source
qualityIssues	unit.quality.issue.issue
qualityIssues	unit.quality.issue.message
qualityIssues	unit.quality.issue.source